instrument,innovation,forecast_date,origin_index,error_type,error
BTC-USD,student_t,2024-07-25,1100,GarchFitError,"fit violated GARCH constraints: omega=0.054388248978255394, alpha=0.043795733776581386, beta=0.9562042662242327"
BTC-USD,student_t,2024-07-27,1102,GarchFitError,"fit violated GARCH constraints: omega=0.036544341265192376, alpha=0.03772135203052367, beta=0.9622786479695075"
BTC-USD,student_t,2024-07-29,1104,GarchFitError,"fit violated GARCH constraints: omega=0.042197393455827924, alpha=0.03914030412005933, beta=0.960859695880297"
BTC-USD,student_t,2024-08-04,1110,GarchFitError,"fit violated GARCH constraints: omega=0.0352381326037719, alpha=0.03458985467977802, beta=0.9654101456874209"
BTC-USD,student_t,2024-08-05,1111,GarchFitError,"fit violated GARCH constraints: omega=0.04364472370464944, alpha=0.03686328071186272, beta=0.9631369584676215"
BTC-USD,student_t,2024-08-08,1114,GarchFitError,"fit violated GARCH constraints: omega=0.061216704143334154, alpha=0.0434624114778764, beta=0.956537588522165"
BTC-USD,student_t,2024-08-09,1115,GarchFitError,"fit violated GARCH constraints: omega=0.11431663690726605, alpha=0.058522025765889815, beta=0.9414779745024874"
BTC-USD,student_t,2024-08-11,1117,GarchFitError,"fit violated GARCH constraints: omega=0.11999984946511505, alpha=0.05813843889754439, beta=0.941861561917242"
BTC-USD,student_t,2024-08-14,1120,GarchFitError,"fit violated GARCH constraints: omega=0.10703139519531749, alpha=0.05453390611629398, beta=0.9454660947073563"
BTC-USD,student_t,2024-08-16,1122,GarchFitError,"fit violated GARCH constraints: omega=0.10453970624388098, alpha=0.05437668464331058, beta=0.945623315356691"
BTC-USD,student_t,2024-08-17,1123,GarchFitError,"fit violated GARCH constraints: omega=0.09910864074908732, alpha=0.05278376010799008, beta=0.9472162403113447"
BTC-USD,student_t,2024-08-19,1125,GarchFitError,"fit violated GARCH constraints: omega=0.06467640982943329, alpha=0.04386445024638901, beta=0.9561355499293371"
BTC-USD,student_t,2024-08-20,1126,GarchFitError,"fit violated GARCH constraints: omega=0.05515155397353082, alpha=0.04130647859761702, beta=0.9586935312863296"
BTC-USD,student_t,2024-08-21,1127,GarchFitError,"fit violated GARCH constraints: omega=0.04808781148179959, alpha=0.03949550674216961, beta=0.9605044932578304"
BTC-USD,student_t,2024-08-22,1128,GarchFitError,"fit violated GARCH constraints: omega=0.02161049123710069, alpha=1.560788515348927e-09, beta=0.9999999993972278"
BTC-USD,student_t,2024-08-23,1129,GarchFitError,"fit violated GARCH constraints: omega=0.05665821913597695, alpha=0.04209007288647991, beta=0.9579099271135202"
BTC-USD,student_t,2024-08-25,1131,GarchFitError,"fit violated GARCH constraints: omega=0.052846068291267104, alpha=0.041027168888309096, beta=0.9589728311117739"
BTC-USD,student_t,2024-08-26,1132,GarchFitError,"fit violated GARCH constraints: omega=0.04878933914040882, alpha=0.03980658743743151, beta=0.960193412811422"
BTC-USD,student_t,2024-08-27,1133,GarchFitError,"fit violated GARCH constraints: omega=0.04441618124374225, alpha=0.03963965170858721, beta=0.9603605393028241"
BTC-USD,student_t,2024-09-02,1139,GarchFitError,"fit violated GARCH constraints: omega=0.04425396162014191, alpha=0.036047537933723006, beta=0.9639524738911944"
BTC-USD,student_t,2024-09-03,1140,GarchFitError,"fit violated GARCH constraints: omega=0.04903935682500016, alpha=0.036545563949903895, beta=0.9634544379676222"
